Unnamed: 0,id_medicine,id_disease,correlation_score
468,-1,-4,0.6
469,-1,-4,0.566
470,-1,-4,0.697
471,-1,-4,0.28
472,-1,-4,0.305
473,-1,-4,0.376
474,-1,-4,0.616
475,-1,-4,0.14
476,-1,-4,0.369
477,-1,-4,0.294
478,-1,-4,0.32
479,-1,-4,0.41
480,-1,-5,0.306
481,-1,-5,0.387
482,-1,-5,0.182
483,-1,-5,0.668
484,-1,-5,0.208
485,-1,-5,0.69
486,-1,-5,0.377
487,-1,-5,0.631
488,-1,-5,0.592
489,-1,-5,0.581
490,-1,-5,0.689
491,-1,-5,0.45
492,-1,-5,0.696
493,-1,-5,0.524
494,-1,-5,0.145
495,-1,-5,0.426
496,-1,-5,0.26
497,-1,-5,0.668
498,-1,-5,0.299
499,-1,-5,0.16
500,-1,-6,0.563
501,-1,-6,0.311
502,-1,-6,0.256
503,-1,-6,0.519
504,-1,-6,0.672
505,-1,-6,0.669
506,-1,-6,0.389
507,-1,-6,0.517
508,-1,-6,0.517
509,-1,-6,0.208
510,-1,-6,0.142
511,-1,-6,0.457
512,-1,-6,0.518
513,-1,-6,0.622
514,-1,-6,0.66
515,-1,-6,0.55
516,-1,-6,0.51
517,-1,-6,0.377
518,-1,-6,0.235
519,-1,-6,0.248
520,-1,-7,0.292
521,-1,-7,0.195
522,-1,-7,0.635
523,-1,-7,0.108
524,-1,-7,0.269
525,-1,-7,0.106
526,-1,-7,0.332
527,-1,-7,0.224
528,-1,-7,0.253
529,-1,-7,0.447
530,-1,-7,0.496
531,-1,-7,0.17
532,-1,-7,0.435
533,-1,-7,0.642
534,-1,-7,0.467
535,-1,-7,0.464
536,-1,-7,0.636
537,-1,-7,0.433
538,-1,-7,0.193
539,-1,-7,0.367
540,-1,-8,0.297
541,-1,-8,0.282
542,-1,-8,0.158
543,-1,-8,0.354
544,-1,-8,0.556
545,-1,-8,0.172
546,-1,-8,0.302
547,-1,-8,0.607
548,-1,-8,0.459
549,-1,-8,0.655
550,-1,-8,0.283
551,-1,-8,0.278
552,-1,-8,0.667
553,-1,-8,0.697
554,-1,-8,0.623
555,-1,-8,0.288
556,-1,-8,0.348
557,-1,-8,0.2
558,-1,-8,0.486
559,-1,-8,0.657
560,-1,-9,0.611
561,-1,-9,0.153
562,-1,-9,0.193
563,-1,-9,0.69
564,-1,-9,0.333
565,-1,-9,0.657
566,-1,-9,0.48
567,-1,-9,0.543
568,-1,-9,0.144
569,-1,-9,0.588
570,-1,-9,0.319
571,-1,-9,0.633
572,-1,-9,0.447
573,-1,-9,0.123
574,-1,-9,0.348
575,-1,-9,0.424
576,-1,-9,0.495
577,-1,-9,0.391
578,-1,-9,0.677
579,-1,-9,0.666
580,-1,-10,0.492
581,-1,-10,0.279
582,-1,-10,0.149
583,-1,-10,0.57
584,-1,-10,0.496
585,-1,-10,0.442
586,-1,-10,0.294
587,-1,-10,0.144
588,-1,-10,0.244
589,-1,-10,0.164
590,-1,-10,0.602
591,-1,-10,0.575
592,-1,-10,0.645
593,-1,-10,0.358
594,-1,-10,0.147
595,-1,-10,0.511
596,-1,-10,0.418
597,-1,-10,0.586
598,-1,-10,0.634
599,-1,-10,0.225
600,-1,-11,0.459
601,-1,-11,0.492
602,-1,-11,0.546
603,-1,-11,0.238
604,-1,-11,0.148
605,-1,-11,0.289
606,-1,-11,0.409
607,-1,-11,0.289
608,-1,-11,0.108
609,-1,-11,0.176
610,-1,-11,0.111
611,-1,-11,0.575
612,-1,-11,0.405
613,-1,-11,0.66
614,-1,-11,0.694
615,-1,-11,0.255
616,-1,-11,0.116
617,-1,-11,0.136
618,-1,-11,0.515
619,-1,-11,0.644
620,-1,-12,0.322
621,-1,-12,0.536
622,-1,-12,0.39
623,-1,-12,0.22
624,-1,-12,0.292
625,-1,-12,0.538
626,-1,-12,0.273
627,-1,-12,0.345
628,-1,-12,0.13
629,-1,-12,0.197
630,-1,-12,0.613
631,-1,-12,0.616
632,-1,-12,0.549
633,-1,-12,0.341
634,-1,-12,0.213
635,-1,-12,0.559
636,-1,-12,0.529
637,-1,-12,0.196
638,-1,-12,0.574
639,-1,-12,0.226
640,-1,-13,0.546
641,-1,-13,0.296
642,-1,-13,0.175
643,-1,-13,0.668
644,-1,-13,0.536
645,-1,-13,0.461
646,-1,-13,0.483
647,-1,-13,0.522
648,-1,-13,0.286
649,-1,-13,0.677
650,-1,-13,0.627
651,-1,-13,0.387
652,-1,-13,0.255
653,-1,-13,0.656
654,-1,-13,0.491
655,-1,-13,0.261
656,-1,-13,0.243
657,-1,-13,0.445
658,-1,-13,0.694
659,-1,-13,0.318
660,-1,-14,0.683
661,-1,-14,0.577
662,-1,-14,0.189
663,-1,-14,0.263
664,-1,-14,0.455
665,-1,-14,0.233
666,-1,-14,0.519
667,-1,-14,0.359
668,-1,-14,0.53
669,-1,-14,0.291
670,-1,-14,0.124
671,-1,-14,0.403
672,-1,-14,0.374
673,-1,-14,0.602
674,-1,-14,0.663
675,-1,-14,0.365
676,-1,-14,0.534
677,-1,-14,0.345
678,-1,-14,0.438
679,-1,-14,0.324
680,-1,-15,0.434
681,-1,-15,0.335
682,-1,-15,0.641
683,-1,-15,0.65
684,-1,-15,0.398
685,-1,-15,0.555
686,-1,-15,0.24
687,-1,-15,0.601
688,-1,-15,0.365
689,-1,-15,0.498
690,-1,-15,0.683
691,-1,-15,0.189
692,-1,-15,0.175
693,-1,-15,0.406
694,-1,-15,0.645
695,-1,-15,0.197
696,-1,-15,0.256
697,-1,-15,0.136
698,-1,-15,0.397
699,-1,-15,0.276
700,-1,-16,0.629
701,-1,-16,0.346
702,-1,-16,0.425
703,-1,-16,0.462
704,-1,-16,0.382
705,-1,-16,0.259
706,-1,-16,0.426
707,-1,-16,0.374
708,-1,-16,0.349
709,-1,-16,0.638
710,-1,-16,0.625
711,-1,-16,0.11
712,-1,-16,0.435
713,-1,-16,0.636
714,-1,-16,0.279
715,-1,-16,0.146
716,-1,-16,0.158
717,-1,-16,0.512
718,-1,-16,0.143
719,-1,-16,0.524
720,-1,-17,0.612
721,-1,-17,0.497
722,-1,-17,0.375
723,-1,-17,0.306
724,-1,-17,0.589
725,-1,-17,0.22
726,-1,-17,0.392
727,-1,-17,0.537
728,-1,-17,0.432
729,-1,-17,0.153
730,-1,-17,0.569
731,-1,-17,0.296
732,-1,-17,0.385
733,-1,-17,0.205
734,-1,-17,0.612
735,-1,-17,0.325
736,-1,-17,0.355
737,-1,-17,0.163
738,-1,-17,0.2
739,-1,-17,0.549
740,-1,-18,0.43
741,-1,-18,0.64
742,-1,-18,0.504
743,-1,-18,0.67
744,-1,-18,0.256
745,-1,-18,0.557
746,-1,-18,0.414
747,-1,-18,0.543
748,-1,-18,0.158
749,-1,-18,0.571
750,-1,-18,0.266
751,-1,-18,0.488
752,-1,-18,0.342
753,-1,-18,0.159
754,-1,-18,0.389
755,-1,-18,0.613
756,-1,-18,0.446
757,-1,-18,0.579
758,-1,-18,0.512
759,-1,-18,0.637
760,-1,-19,0.176
761,-1,-19,0.351
762,-1,-19,0.538
763,-1,-19,0.323
764,-1,-19,0.208
765,-1,-19,0.413
766,-1,-19,0.143
767,-1,-19,0.109
768,-1,-19,0.224
769,-1,-19,0.441
770,-1,-19,0.656
771,-1,-19,0.13
772,-1,-19,0.143
773,-1,-19,0.302
774,-1,-19,0.698
775,-1,-19,0.573
776,-1,-19,0.306
777,-1,-19,0.575
778,-1,-19,0.457
779,-1,-19,0.115
780,-1,-20,0.349
781,-1,-20,0.495
782,-1,-20,0.145
783,-1,-20,0.592
784,-1,-20,0.545
785,-1,-20,0.306
786,-1,-20,0.188
787,-1,-20,0.278
788,-1,-20,0.521
789,-1,-20,0.576
790,-1,-20,0.526
791,-1,-20,0.188
792,-1,-20,0.23
793,-1,-20,0.177
794,-1,-20,0.562
795,-1,-20,0.277
796,-1,-20,0.576
797,-1,-20,0.634
798,-1,-20,0.518
799,-1,-20,0.658
800,-1,-1,0.656
801,-1,-1,0.279
802,-1,-1,0.257
803,-1,-1,0.162
804,-1,-1,0.628
805,-1,-1,0.506
806,-1,-1,0.666
807,-1,-1,0.464
808,-1,-1,0.207
809,-1,-1,0.392
810,-1,-1,0.58
811,-1,-1,0.5
812,-1,-1,0.372
813,-1,-1,0.497
814,-1,-1,0.496
815,-1,-1,0.287
816,-1,-1,0.556
817,-1,-1,0.191
818,-1,-1,0.456
819,-1,-1,0.545
820,-1,-2,0.472
821,-1,-2,0.127
822,-1,-2,0.585
823,-1,-2,0.609
824,-1,-2,0.432
825,-1,-2,0.217
826,-1,-2,0.382
827,-1,-2,0.455
828,-1,-2,0.204
829,-1,-2,0.323
830,-1,-2,0.656
831,-1,-2,0.191
832,-1,-2,0.477
833,-1,-2,0.461
834,-1,-2,0.345
835,-1,-2,0.585
836,-1,-2,0.256
837,-1,-2,0.44
838,-1,-2,0.113
839,-1,-2,0.318
840,-1,-3,0.167
841,-1,-3,0.477
842,-1,-3,0.676
843,-1,-3,0.102
844,-1,-3,0.345
845,-1,-3,0.32
846,-1,-3,0.651
847,-1,-3,0.353
848,-1,-3,0.155
849,-1,-3,0.166
850,-1,-3,0.182
851,-1,-3,0.47
852,-1,-3,0.168
853,-1,-3,0.25
854,-1,-3,0.11
855,-1,-3,0.371
856,-1,-3,0.509
857,-1,-3,0.303
858,-1,-3,0.335
859,-1,-3,0.611
860,-1,-4,0.484
861,-1,-4,0.379
862,-1,-4,0.538
863,-1,-4,0.425
864,-1,-4,0.494
865,-1,-4,0.313
866,-1,-4,0.339
867,-1,-4,0.271
868,-1,-4,0.452
869,-1,-4,0.554
870,-1,-4,0.149
871,-1,-4,0.483
872,-1,-4,0.472
873,-1,-4,0.428
874,-1,-4,0.636
875,-1,-4,0.176
876,-1,-4,0.511
877,-1,-4,0.614
878,-1,-4,0.684
879,-1,-4,0.531
880,-1,-5,0.384
881,-1,-5,0.66
882,-1,-5,0.603
883,-1,-5,0.148
884,-1,-5,0.179
885,-1,-5,0.488
886,-1,-5,0.222
887,-1,-5,0.635
888,-1,-5,0.69
889,-1,-5,0.164
890,-1,-5,0.656
891,-1,-5,0.456
892,-1,-5,0.156
893,-1,-5,0.234
894,-1,-5,0.27
895,-1,-5,0.382
896,-1,-5,0.453
897,-1,-5,0.128
898,-1,-5,0.177
899,-1,-5,0.284
900,-1,-6,0.118
901,-1,-6,0.482
902,-1,-6,0.111
903,-1,-6,0.404
904,-1,-6,0.668
905,-1,-6,0.279
906,-1,-6,0.577
907,-1,-6,0.55
908,-1,-6,0.121
909,-1,-6,0.352
910,-1,-6,0.154
911,-1,-6,0.386
912,-1,-6,0.482
913,-1,-6,0.477
914,-1,-6,0.361
915,-1,-6,0.134
916,-1,-6,0.433
917,-1,-6,0.42
918,-1,-6,0.576
919,-1,-6,0.304
920,-1,-7,0.632
921,-1,-7,0.65
922,-1,-7,0.534
923,-1,-7,0.349
924,-1,-7,0.181
925,-1,-7,0.523
926,-1,-7,0.238
927,-1,-7,0.313
928,-1,-7,0.476
929,-1,-7,0.667
930,-1,-7,0.403
931,-1,-7,0.293
932,-1,-7,0.597
933,-1,-7,0.446
934,-1,-7,0.253
935,-1,-7,0.402
936,-1,-7,0.574
937,-1,-7,0.663
938,-1,-7,0.295
939,-1,-7,0.24
940,-1,-8,0.116
941,-1,-8,0.298
942,-1,-8,0.192
943,-1,-8,0.431
944,-1,-8,0.124
945,-1,-8,0.382
946,-1,-8,0.17
947,-1,-8,0.52
948,-1,-8,0.229
949,-1,-8,0.435
950,-1,-8,0.355
951,-1,-8,0.327
952,-1,-8,0.62
953,-1,-8,0.613
954,-1,-8,0.271
955,-1,-8,0.132
956,-1,-8,0.289
957,-1,-8,0.562
958,-1,-8,0.124
959,-1,-8,0.114
960,-1,-9,0.376
961,-1,-9,0.558
962,-1,-9,0.507
963,-1,-9,0.122
964,-1,-9,0.421
965,-1,-9,0.363
966,-1,-9,0.451
967,-1,-9,0.105
968,-1,-9,0.37
969,-1,-9,0.334
970,-1,-9,0.315
971,-1,-9,0.495
972,-1,-9,0.426
973,-1,-9,0.404
974,-1,-9,0.646
975,-1,-9,0.525
976,-1,-9,0.348
977,-1,-9,0.514
978,-1,-9,0.448
979,-1,-9,0.657
980,-1,-10,0.208
981,-1,-10,0.297
982,-1,-10,0.197
983,-1,-10,0.515
984,-1,-10,0.65
985,-1,-10,0.691
986,-1,-10,0.397
987,-1,-10,0.233
988,-1,-10,0.496
989,-1,-10,0.594
990,-1,-10,0.566
991,-1,-10,0.188
992,-1,-10,0.393
993,-1,-10,0.426
994,-1,-10,0.406
995,-1,-10,0.624
996,-1,-10,0.577
997,-1,-10,0.668
998,-1,-10,0.371
999,-1,-10,0.684
1000,-1,-11,0.639
1001,-1,-11,0.437
1002,-1,-11,0.311
1003,-1,-11,0.598
1004,-1,-11,0.256
1005,-1,-11,0.662
1006,-1,-11,0.267
1007,-1,-11,0.548
1008,-1,-11,0.291
1009,-1,-11,0.312
1010,-1,-11,0.411
1011,-1,-11,0.148
1012,-1,-11,0.308
1013,-1,-11,0.286
1014,-1,-11,0.678
1015,-1,-11,0.635
1016,-1,-11,0.343
1017,-1,-11,0.354
1018,-1,-11,0.106
1019,-1,-11,0.695
1020,-1,-12,0.337
1021,-1,-12,0.594
1022,-1,-12,0.533
1023,-1,-12,0.398
1024,-1,-12,0.108
1025,-1,-12,0.394
1026,-1,-12,0.159
1027,-1,-12,0.163
1028,-1,-12,0.258
1029,-1,-12,0.624
1030,-1,-12,0.488
1031,-1,-12,0.224
1032,-1,-12,0.353
1033,-1,-12,0.593
1034,-1,-12,0.4
1035,-1,-12,0.446
1036,-1,-12,0.507
1037,-1,-12,0.461
1038,-1,-12,0.454
1039,-1,-12,0.283
1040,-1,-13,0.259
1041,-1,-13,0.593
1042,-1,-13,0.342
1043,-1,-13,0.112
1044,-1,-13,0.247
1045,-1,-13,0.439
1046,-1,-13,0.17
1047,-1,-13,0.49
1048,-1,-13,0.574
1049,-1,-13,0.391
1050,-1,-13,0.618
1051,-1,-13,0.235
1052,-1,-13,0.465
1053,-1,-13,0.135
1054,-1,-13,0.197
1055,-1,-13,0.247
1056,-1,-13,0.244
1057,-1,-13,0.304
1058,-1,-13,0.434
1059,-1,-13,0.151
1060,-1,-14,0.285
1061,-1,-14,0.539
1062,-1,-14,0.497
1063,-1,-14,0.105
1064,-1,-14,0.52
1065,-1,-14,0.685
1066,-1,-14,0.344
1067,-1,-14,0.587
1068,-1,-14,0.602
1069,-1,-14,0.181
1070,-1,-14,0.582
1071,-1,-14,0.274
1072,-1,-14,0.667
1073,-1,-14,0.503
1074,-1,-14,0.132
1075,-1,-14,0.112
1076,-1,-14,0.635
1077,-1,-14,0.551
1078,-1,-14,0.276
1079,-1,-14,0.573
1080,-1,-15,0.163
1081,-1,-15,0.587
1082,-1,-15,0.468
1083,-1,-15,0.68
1084,-1,-15,0.581
1085,-1,-15,0.327
1086,-1,-15,0.685
1087,-1,-15,0.206
1088,-1,-15,0.193
1089,-1,-15,0.559
1090,-1,-15,0.599
1091,-1,-15,0.507
1092,-1,-15,0.394
1093,-1,-15,0.451
1094,-1,-15,0.499
1095,-1,-15,0.444
1096,-1,-15,0.375
1097,-1,-15,0.182
1098,-1,-15,0.578
1099,-1,-15,0.104
1100,-1,-16,0.361
1101,-1,-16,0.194
1102,-1,-16,0.137
1103,-1,-16,0.56
1104,-1,-16,0.374
1105,-1,-16,0.35
1106,-1,-16,0.631
1107,-1,-16,0.617
1108,-1,-16,0.65
1109,-1,-16,0.554
1110,-1,-16,0.202
1111,-1,-16,0.333
1112,-1,-16,0.312
1113,-1,-16,0.354
1114,-1,-16,0.155
1115,-1,-16,0.173
1116,-1,-16,0.317
1117,-1,-16,0.25
1118,-1,-16,0.532
1119,-1,-16,0.358
1120,-1,-17,0.227
1121,-1,-17,0.36
1122,-1,-17,0.166
1123,-1,-17,0.154
1124,-1,-17,0.488
1125,-1,-17,0.213
1126,-1,-17,0.662
1127,-1,-17,0.215
1128,-1,-17,0.181
1129,-1,-17,0.324
1130,-1,-17,0.525
1131,-1,-17,0.246
1132,-1,-17,0.124
1133,-1,-17,0.573
1134,-1,-17,0.665
1135,-1,-17,0.667
1136,-1,-17,0.19
1137,-1,-17,0.129
1138,-1,-17,0.379
1139,-1,-17,0.557
1140,-1,-18,0.512
1141,-1,-18,0.497
1142,-1,-18,0.629
1143,-1,-18,0.252
1144,-1,-18,0.486
1145,-1,-18,0.105
1146,-1,-18,0.12
1147,-1,-18,0.253
1148,-1,-18,0.445
