id,medicine_name,brief,description,photo_link
-29,Warfarin,Warfarin is a commonly used medication.,Warfarin is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-30,Clopidogrel,Clopidogrel is a commonly used medication.,Clopidogrel is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-31,Dexamethasone,Dexamethasone is a commonly used medication.,Dexamethasone is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-32,Prednisone,Prednisone is a commonly used medication.,Prednisone is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-33,Hydrocortisone,Hydrocortisone is a commonly used medication.,Hydrocortisone is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-34,Methotrexate,Methotrexate is a commonly used medication.,Methotrexate is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-35,Mycophenolate,Mycophenolate is a commonly used medication.,Mycophenolate is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-36,Levothyroxine,Levothyroxine is a commonly used medication.,Levothyroxine is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-37,Propylthiouracil,Propylthiouracil is a commonly used medication.,Propylthiouracil is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-38,Methimazole,Methimazole is a commonly used medication.,Methimazole is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-39,Fluoxetine,Fluoxetine is a commonly used medication.,Fluoxetine is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-40,Sertraline,Sertraline is a commonly used medication.,Sertraline is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-41,Diazepam,Diazepam is a commonly used medication.,Diazepam is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-42,Lorazepam,Lorazepam is a commonly used medication.,Lorazepam is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-43,Alprazolam,Alprazolam is a commonly used medication.,Alprazolam is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-44,Haloperidol,Haloperidol is a commonly used medication.,Haloperidol is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-45,Risperidone,Risperidone is a commonly used medication.,Risperidone is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-46,Omeprazole,Omeprazole is a commonly used medication.,Omeprazole is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-47,Ranitidine,Ranitidine is a commonly used medication.,Ranitidine is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-48,Pantoprazole,Pantoprazole is a commonly used medication.,Pantoprazole is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-49,Esomeprazole,Esomeprazole is a commonly used medication.,Esomeprazole is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
-50,Lansoprazole,Lansoprazole is a commonly used medication.,Lansoprazole is used for treating various conditions. It works through specific mechanisms depending on its category. It is widely prescribed and generally well tolerated.,
