,id_medicine,id_disease,correlation_score
179,D001,D009,0.46
180,D001,D010,0.148
181,D001,D010,0.441
182,D001,D010,0.475
183,D001,D010,0.606
184,D001,D010,0.469
185,D001,D010,0.258
186,D001,D010,0.552
187,D001,D010,0.571
188,D001,D010,0.393
189,D001,D010,0.537
190,D001,D010,0.133
191,D001,D010,0.697
192,D001,D010,0.595
193,D001,D010,0.559
194,D001,D010,0.547
195,D001,D010,0.259
196,D001,D010,0.272
197,D001,D010,0.294
198,D001,D010,0.486
199,D001,D010,0.657
200,D001,D011,0.131
201,D001,D011,0.697
202,D001,D011,0.697
203,D001,D011,0.293
204,D001,D011,0.679
205,D001,D011,0.116
206,D001,D011,0.491
207,D001,D011,0.555
208,D001,D011,0.637
209,D001,D011,0.658
210,D001,D011,0.311
211,D001,D011,0.421
212,D001,D011,0.596
213,D001,D011,0.124
214,D001,D011,0.525
215,D001,D011,0.336
216,D001,D011,0.263
217,D001,D011,0.562
218,D001,D011,0.69
219,D001,D011,0.185
220,D001,D012,0.153
221,D001,D012,0.203
222,D001,D012,0.247
223,D001,D012,0.119
224,D001,D012,0.495
225,D001,D012,0.17
226,D001,D012,0.322
227,D001,D012,0.294
228,D001,D012,0.694
229,D001,D012,0.487
230,D001,D012,0.238
231,D001,D012,0.39
232,D001,D012,0.421
233,D001,D012,0.323
234,D001,D012,0.596
235,D001,D012,0.114
236,D001,D012,0.185
237,D001,D012,0.103
238,D001,D012,0.37
239,D001,D012,0.277
240,D001,D013,0.343
241,D001,D013,0.177
242,D001,D013,0.1
243,D001,D013,0.21
244,D001,D013,0.5
245,D001,D013,0.136
246,D001,D013,0.644
247,D001,D013,0.507
248,D001,D013,0.553
249,D001,D013,0.442
250,D001,D013,0.477
251,D001,D013,0.144
252,D001,D013,0.224
253,D001,D013,0.212
254,D001,D013,0.139
255,D001,D013,0.172
256,D001,D013,0.567
257,D001,D013,0.545
258,D001,D013,0.697
259,D001,D013,0.381
260,D001,D014,0.203
261,D001,D014,0.168
262,D001,D014,0.565
263,D001,D014,0.214
264,D001,D014,0.68
265,D001,D014,0.63
266,D001,D014,0.639
267,D001,D014,0.622
268,D001,D014,0.166
269,D001,D014,0.254
270,D001,D014,0.568
271,D001,D014,0.18
272,D001,D014,0.22
273,D001,D014,0.63
274,D001,D014,0.261
275,D001,D014,0.683
276,D001,D014,0.532
277,D001,D014,0.425
278,D001,D014,0.286
279,D001,D014,0.68
280,D001,D015,0.497
281,D001,D015,0.696
282,D001,D015,0.103
283,D001,D015,0.626
284,D001,D015,0.425
285,D001,D015,0.22
286,D001,D015,0.487
287,D001,D015,0.123
288,D001,D015,0.342
289,D001,D015,0.173
290,D001,D015,0.464
291,D001,D015,0.348
292,D001,D015,0.211
293,D001,D015,0.673
294,D001,D015,0.373
295,D001,D015,0.288
296,D001,D015,0.103
297,D001,D015,0.467
298,D001,D015,0.325
299,D001,D015,0.632
300,D001,D016,0.644
301,D001,D016,0.336
302,D001,D016,0.341
303,D001,D016,0.547
304,D001,D016,0.523
305,D001,D016,0.275
306,D001,D016,0.419
307,D001,D016,0.572
308,D001,D016,0.331
309,D001,D016,0.465
310,D001,D016,0.222
311,D001,D016,0.369
312,D001,D016,0.434
313,D001,D016,0.189
314,D001,D016,0.135
315,D001,D016,0.374
316,D001,D016,0.249
317,D001,D016,0.463
318,D001,D016,0.531
319,D001,D016,0.603
320,D001,D017,0.609
321,D001,D017,0.385
322,D001,D017,0.674
323,D001,D017,0.293
324,D001,D017,0.21
325,D001,D017,0.151
326,D001,D017,0.654
327,D001,D017,0.58
328,D001,D017,0.688
329,D001,D017,0.667
330,D001,D017,0.529
331,D001,D017,0.249
332,D001,D017,0.374
333,D001,D017,0.203
334,D001,D017,0.3
335,D001,D017,0.234
336,D001,D017,0.412
337,D001,D017,0.467
338,D001,D017,0.107
339,D001,D017,0.484
340,D001,D018,0.684
341,D001,D018,0.376
342,D001,D018,0.279
343,D001,D018,0.132
344,D001,D018,0.468
345,D001,D018,0.631
346,D001,D018,0.506
347,D001,D018,0.481
348,D001,D018,0.645
349,D001,D018,0.423
350,D001,D018,0.521
351,D001,D018,0.321
352,D001,D018,0.595
353,D001,D018,0.617
354,D001,D018,0.487
355,D001,D018,0.114
356,D001,D018,0.688
357,D001,D018,0.306
358,D001,D018,0.377
359,D001,D018,0.547
360,D001,D019,0.568
361,D001,D019,0.135
362,D001,D019,0.474
363,D001,D019,0.517
364,D001,D019,0.369
365,D001,D019,0.24
366,D001,D019,0.694
367,D001,D019,0.487
368,D001,D019,0.676
369,D001,D019,0.336
370,D001,D019,0.185
371,D001,D019,0.601
372,D001,D019,0.459
373,D001,D019,0.105
374,D001,D019,0.101
375,D001,D019,0.32
376,D001,D019,0.646
377,D001,D019,0.221
378,D001,D019,0.18
379,D001,D019,0.254
380,D001,D020,0.377
381,D001,D020,0.177
382,D001,D020,0.33
383,D001,D020,0.133
384,D001,D020,0.31
385,D001,D020,0.224
386,D001,D020,0.183
387,D001,D020,0.471
388,D001,D020,0.368
389,D001,D020,0.316
390,D001,D020,0.59
391,D001,D020,0.493
392,D001,D020,0.41
393,D001,D020,0.492
394,D001,D020,0.237
395,D001,D020,0.633
396,D001,D020,0.391
397,D001,D020,0.383
398,D001,D020,0.698
399,D001,D020,0.172
400,D001,D001,0.417
401,D001,D001,0.529
402,D001,D001,0.651
403,D001,D001,0.218
404,D001,D001,0.634
405,D001,D001,0.363
406,D001,D001,0.215
407,D001,D001,0.691
408,D001,D001,0.449
409,D001,D001,0.572
410,D001,D001,0.39
411,D001,D001,0.495
412,D001,D001,0.117
413,D001,D001,0.193
414,D001,D001,0.658
415,D001,D001,0.201
416,D001,D001,0.256
417,D001,D001,0.314
418,D001,D001,0.481
419,D001,D001,0.326
420,D001,D002,0.278
421,D001,D002,0.542
422,D001,D002,0.182
423,D001,D002,0.39
424,D001,D002,0.389
425,D001,D002,0.427
426,D001,D002,0.131
427,D001,D002,0.171
428,D001,D002,0.635
429,D001,D002,0.306
430,D001,D002,0.487
431,D001,D002,0.465
432,D001,D002,0.269
433,D001,D002,0.643
434,D001,D002,0.695
435,D001,D002,0.695
436,D001,D002,0.563
437,D001,D002,0.689
438,D001,D002,0.191
439,D001,D002,0.357
440,D001,D003,0.574
441,D001,D003,0.664
442,D001,D003,0.504
443,D001,D003,0.391
444,D001,D003,0.393
445,D001,D003,0.542
446,D001,D003,0.471
447,D001,D003,0.549
448,D001,D003,0.432
449,D001,D003,0.461
450,D001,D003,0.675
451,D001,D003,0.678
452,D001,D003,0.373
453,D001,D003,0.182
454,D001,D003,0.627
455,D001,D003,0.435
456,D001,D003,0.278
457,D001,D003,0.134
458,D001,D003,0.28
459,D001,D003,0.559
460,D001,D004,0.319
461,D001,D004,0.634
462,D001,D004,0.154
463,D001,D004,0.691
464,D001,D004,0.49
465,D001,D004,0.468
466,D001,D004,0.149
467,D001,D004,0.323
468,D001,D004,0.6
469,D001,D004,0.566
470,D001,D004,0.697
471,D001,D004,0.28
472,D001,D004,0.305
473,D001,D004,0.376
474,D001,D004,0.616
475,D001,D004,0.14
476,D001,D004,0.369
477,D001,D004,0.294
478,D001,D004,0.32
479,D001,D004,0.41
480,D001,D005,0.306
481,D001,D005,0.387
482,D001,D005,0.182
483,D001,D005,0.668
484,D001,D005,0.208
485,D001,D005,0.69
486,D001,D005,0.377
487,D001,D005,0.631
488,D001,D005,0.592
489,D001,D005,0.581
490,D001,D005,0.689
491,D001,D005,0.45
492,D001,D005,0.696
493,D001,D005,0.524
494,D001,D005,0.145
495,D001,D005,0.426
496,D001,D005,0.26
497,D001,D005,0.668
498,D001,D005,0.299
499,D001,D005,0.16
500,D001,D006,0.563
501,D001,D006,0.311
502,D001,D006,0.256
503,D001,D006,0.519
504,D001,D006,0.672
505,D001,D006,0.669
506,D001,D006,0.389
507,D001,D006,0.517
508,D001,D006,0.517
509,D001,D006,0.208
510,D001,D006,0.142
511,D001,D006,0.457
512,D001,D006,0.518
513,D001,D006,0.622
514,D001,D006,0.66
515,D001,D006,0.55
516,D001,D006,0.51
517,D001,D006,0.377
518,D001,D006,0.235
519,D001,D006,0.248
520,D001,D007,0.292
521,D001,D007,0.195
522,D001,D007,0.635
523,D001,D007,0.108
524,D001,D007,0.269
525,D001,D007,0.106
526,D001,D007,0.332
527,D001,D007,0.224
528,D001,D007,0.253
529,D001,D007,0.447
530,D001,D007,0.496
531,D001,D007,0.17
532,D001,D007,0.435
533,D001,D007,0.642
534,D001,D007,0.467
535,D001,D007,0.464
536,D001,D007,0.636
537,D001,D007,0.433
538,D001,D007,0.193
539,D001,D007,0.367
540,D001,D008,0.297
541,D001,D008,0.282
542,D001,D008,0.158
543,D001,D008,0.354
544,D001,D008,0.556
545,D001,D008,0.172
546,D001,D008,0.302
547,D001,D008,0.607
548,D001,D008,0.459
549,D001,D008,0.655
550,D001,D008,0.283
551,D001,D008,0.278
552,D001,D008,0.667
553,D001,D008,0.697
554,D001,D008,0.623
555,D001,D008,0.288
556,D001,D008,0.348
557,D001,D008,0.2
558,D001,D008,0.486
559,D001,D008,0.657
560,D001,D009,0.611
561,D001,D009,0.153
562,D001,D009,0.193
563,D001,D009,0.69
564,D001,D009,0.333
565,D001,D009,0.657
566,D001,D009,0.48
567,D001,D009,0.543
568,D001,D009,0.144
569,D001,D009,0.588
570,D001,D009,0.319
571,D001,D009,0.633
572,D001,D009,0.447
573,D001,D009,0.123
574,D001,D009,0.348
575,D001,D009,0.424
576,D001,D009,0.495
577,D001,D009,0.391
578,D001,D009,0.677
579,D001,D009,0.666
580,D001,D010,0.492
581,D001,D010,0.279
582,D001,D010,0.149
583,D001,D010,0.57
584,D001,D010,0.496
585,D001,D010,0.442
586,D001,D010,0.294
587,D001,D010,0.144
588,D001,D010,0.244
589,D001,D010,0.164
590,D001,D010,0.602
591,D001,D010,0.575
592,D001,D010,0.645
593,D001,D010,0.358
594,D001,D010,0.147
595,D001,D010,0.511
596,D001,D010,0.418
597,D001,D010,0.586
598,D001,D010,0.634
599,D001,D010,0.225
600,D001,D011,0.459
601,D001,D011,0.492
602,D001,D011,0.546
603,D001,D011,0.238
604,D001,D011,0.148
605,D001,D011,0.289
606,D001,D011,0.409
607,D001,D011,0.289
608,D001,D011,0.108
609,D001,D011,0.176
610,D001,D011,0.111
611,D001,D011,0.575
612,D001,D011,0.405
613,D001,D011,0.66
614,D001,D011,0.694
615,D001,D011,0.255
616,D001,D011,0.116
617,D001,D011,0.136
618,D001,D011,0.515
619,D001,D011,0.644
620,D001,D012,0.322
621,D001,D012,0.536
622,D001,D012,0.39
623,D001,D012,0.22
624,D001,D012,0.292
625,D001,D012,0.538
626,D001,D012,0.273
627,D001,D012,0.345
628,D001,D012,0.13
629,D001,D012,0.197
630,D001,D012,0.613
631,D001,D012,0.616
632,D001,D012,0.549
633,D001,D012,0.341
634,D001,D012,0.213
635,D001,D012,0.559
636,D001,D012,0.529
637,D001,D012,0.196
638,D001,D012,0.574
639,D001,D012,0.226
640,D001,D013,0.546
641,D001,D013,0.296
642,D001,D013,0.175
643,D001,D013,0.668
644,D001,D013,0.536
645,D001,D013,0.461
646,D001,D013,0.483
647,D001,D013,0.522
648,D001,D013,0.286
649,D001,D013,0.677
650,D001,D013,0.627
651,D001,D013,0.387
652,D001,D013,0.255
653,D001,D013,0.656
654,D001,D013,0.491
655,D001,D013,0.261
656,D001,D013,0.243
657,D001,D013,0.445
658,D001,D013,0.694
659,D001,D013,0.318
660,D001,D014,0.683
661,D001,D014,0.577
662,D001,D014,0.189
663,D001,D014,0.263
664,D001,D014,0.455
665,D001,D014,0.233
666,D001,D014,0.519
667,D001,D014,0.359
668,D001,D014,0.53
669,D001,D014,0.291
670,D001,D014,0.124
671,D001,D014,0.403
672,D001,D014,0.374
673,D001,D014,0.602
674,D001,D014,0.663
675,D001,D014,0.365
676,D001,D014,0.534
677,D001,D014,0.345
678,D001,D014,0.438
679,D001,D014,0.324
680,D001,D015,0.434
681,D001,D015,0.335
682,D001,D015,0.641
683,D001,D015,0.65
684,D001,D015,0.398
685,D001,D015,0.555
686,D001,D015,0.24
687,D001,D015,0.601
688,D001,D015,0.365
689,D001,D015,0.498
690,D001,D015,0.683
691,D001,D015,0.189
692,D001,D015,0.175
693,D001,D015,0.406
694,D001,D015,0.645
695,D001,D015,0.197
696,D001,D015,0.256
697,D001,D015,0.136
698,D001,D015,0.397
699,D001,D015,0.276
700,D001,D016,0.629
701,D001,D016,0.346
702,D001,D016,0.425
703,D001,D016,0.462
704,D001,D016,0.382
705,D001,D016,0.259
706,D001,D016,0.426
707,D001,D016,0.374
708,D001,D016,0.349
709,D001,D016,0.638
710,D001,D016,0.625
711,D001,D016,0.11
712,D001,D016,0.435
713,D001,D016,0.636
714,D001,D016,0.279
715,D001,D016,0.146
716,D001,D016,0.158
717,D001,D016,0.512
718,D001,D016,0.143
719,D001,D016,0.524
720,D001,D017,0.612
721,D001,D017,0.497
722,D001,D017,0.375
723,D001,D017,0.306
724,D001,D017,0.589
725,D001,D017,0.22
726,D001,D017,0.392
727,D001,D017,0.537
728,D001,D017,0.432
729,D001,D017,0.153
730,D001,D017,0.569
731,D001,D017,0.296
732,D001,D017,0.385
733,D001,D017,0.205
734,D001,D017,0.612
735,D001,D017,0.325
736,D001,D017,0.355
737,D001,D017,0.163
738,D001,D017,0.2
739,D001,D017,0.549
740,D001,D018,0.43
741,D001,D018,0.64
742,D001,D018,0.504
743,D001,D018,0.67
744,D001,D018,0.256
745,D001,D018,0.557
746,D001,D018,0.414
747,D001,D018,0.543
748,D001,D018,0.158
749,D001,D018,0.571
750,D001,D018,0.266
751,D001,D018,0.488
752,D001,D018,0.342
753,D001,D018,0.159
754,D001,D018,0.389
755,D001,D018,0.613
756,D001,D018,0.446
757,D001,D018,0.579
758,D001,D018,0.512
759,D001,D018,0.637
760,D001,D019,0.176
761,D001,D019,0.351
762,D001,D019,0.538
763,D001,D019,0.323
764,D001,D019,0.208
765,D001,D019,0.413
766,D001,D019,0.143
767,D001,D019,0.109
768,D001,D019,0.224
769,D001,D019,0.441
770,D001,D019,0.656
771,D001,D019,0.13
772,D001,D019,0.143
773,D001,D019,0.302
774,D001,D019,0.698
775,D001,D019,0.573
776,D001,D019,0.306
777,D001,D019,0.575
778,D001,D019,0.457
779,D001,D019,0.115
780,D001,D020,0.349
781,D001,D020,0.495
782,D001,D020,0.145
783,D001,D020,0.592
784,D001,D020,0.545
785,D001,D020,0.306
786,D001,D020,0.188
787,D001,D020,0.278
788,D001,D020,0.521
789,D001,D020,0.576
790,D001,D020,0.526
791,D001,D020,0.188
792,D001,D020,0.23
793,D001,D020,0.177
794,D001,D020,0.562
795,D001,D020,0.277
796,D001,D020,0.576
797,D001,D020,0.634
798,D001,D020,0.518
799,D001,D020,0.658
800,D001,D001,0.656
801,D001,D001,0.279
802,D001,D001,0.257
803,D001,D001,0.162
804,D001,D001,0.628
805,D001,D001,0.506
806,D001,D001,0.666
807,D001,D001,0.464
808,D001,D001,0.207
809,D001,D001,0.392
810,D001,D001,0.58
811,D001,D001,0.5
812,D001,D001,0.372
813,D001,D001,0.497
814,D001,D001,0.496
815,D001,D001,0.287
816,D001,D001,0.556
817,D001,D001,0.191
818,D001,D001,0.456
819,D001,D001,0.545
820,D001,D002,0.472
821,D001,D002,0.127
822,D001,D002,0.585
823,D001,D002,0.609
824,D001,D002,0.432
825,D001,D002,0.217
826,D001,D002,0.382
827,D001,D002,0.455
828,D001,D002,0.204
829,D001,D002,0.323
830,D001,D002,0.656
831,D001,D002,0.191
832,D001,D002,0.477
833,D001,D002,0.461
834,D001,D002,0.345
835,D001,D002,0.585
836,D001,D002,0.256
837,D001,D002,0.44
838,D001,D002,0.113
839,D001,D002,0.318
840,D001,D003,0.167
841,D001,D003,0.477
842,D001,D003,0.676
843,D001,D003,0.102
844,D001,D003,0.345
845,D001,D003,0.32
846,D001,D003,0.651
847,D001,D003,0.353
848,D001,D003,0.155
849,D001,D003,0.166
850,D001,D003,0.182
851,D001,D003,0.47
852,D001,D003,0.168
853,D001,D003,0.25
854,D001,D003,0.11
855,D001,D003,0.371
856,D001,D003,0.509
857,D001,D003,0.303
858,D001,D003,0.335
859,D001,D003,0.611
860,D001,D004,0.484
861,D001,D004,0.379
862,D001,D004,0.538
863,D001,D004,0.425
864,D001,D004,0.494
865,D001,D004,0.313
866,D001,D004,0.339
867,D001,D004,0.271
868,D001,D004,0.452
869,D001,D004,0.554
870,D001,D004,0.149
871,D001,D004,0.483
872,D001,D004,0.472
873,D001,D004,0.428
874,D001,D004,0.636
875,D001,D004,0.176
876,D001,D004,0.511
877,D001,D004,0.614
878,D001,D004,0.684
879,D001,D004,0.531
880,D001,D005,0.384
881,D001,D005,0.66
882,D001,D005,0.603
883,D001,D005,0.148
884,D001,D005,0.179
885,D001,D005,0.488
886,D001,D005,0.222
887,D001,D005,0.635
888,D001,D005,0.69
889,D001,D005,0.164
890,D001,D005,0.656
891,D001,D005,0.456
892,D001,D005,0.156
893,D001,D005,0.234
894,D001,D005,0.27
895,D001,D005,0.382
896,D001,D005,0.453
897,D001,D005,0.128
898,D001,D005,0.177
899,D001,D005,0.284
900,D001,D006,0.118
901,D001,D006,0.482
902,D001,D006,0.111
903,D001,D006,0.404
904,D001,D006,0.668
905,D001,D006,0.279
906,D001,D006,0.577
907,D001,D006,0.55
908,D001,D006,0.121
909,D001,D006,0.352
910,D001,D006,0.154
911,D001,D006,0.386
912,D001,D006,0.482
913,D001,D006,0.477
914,D001,D006,0.361
915,D001,D006,0.134
916,D001,D006,0.433
917,D001,D006,0.42
918,D001,D006,0.576
919,D001,D006,0.304
920,D001,D007,0.632
921,D001,D007,0.65
922,D001,D007,0.534
923,D001,D007,0.349
924,D001,D007,0.181
925,D001,D007,0.523
926,D001,D007,0.238
927,D001,D007,0.313
928,D001,D007,0.476
929,D001,D007,0.667
930,D001,D007,0.403
931,D001,D007,0.293
932,D001,D007,0.597
933,D001,D007,0.446
934,D001,D007,0.253
935,D001,D007,0.402
936,D001,D007,0.574
937,D001,D007,0.663
938,D001,D007,0.295
939,D001,D007,0.24
940,D001,D008,0.116
941,D001,D008,0.298
942,D001,D008,0.192
943,D001,D008,0.431
944,D001,D008,0.124
945,D001,D008,0.382
946,D001,D008,0.17
947,D001,D008,0.52
948,D001,D008,0.229
949,D001,D008,0.435
950,D001,D008,0.355
951,D001,D008,0.327
952,D001,D008,0.62
953,D001,D008,0.613
954,D001,D008,0.271
955,D001,D008,0.132
956,D001,D008,0.289
957,D001,D008,0.562
958,D001,D008,0.124
959,D001,D008,0.114
960,D001,D009,0.376
961,D001,D009,0.558
962,D001,D009,0.507
963,D001,D009,0.122
964,D001,D009,0.421
965,D001,D009,0.363
966,D001,D009,0.451
967,D001,D009,0.105
968,D001,D009,0.37
969,D001,D009,0.334
970,D001,D009,0.315
971,D001,D009,0.495
972,D001,D009,0.426
973,D001,D009,0.404
974,D001,D009,0.646
975,D001,D009,0.525
976,D001,D009,0.348
977,D001,D009,0.514
978,D001,D009,0.448
979,D001,D009,0.657
980,D001,D010,0.208
981,D001,D010,0.297
982,D001,D010,0.197
983,D001,D010,0.515
984,D001,D010,0.65
985,D001,D010,0.691
986,D001,D010,0.397
987,D001,D010,0.233
988,D001,D010,0.496
989,D001,D010,0.594
990,D001,D010,0.566
991,D001,D010,0.188
992,D001,D010,0.393
993,D001,D010,0.426
994,D001,D010,0.406
995,D001,D010,0.624
996,D001,D010,0.577
997,D001,D010,0.668
998,D001,D010,0.371
999,D001,D010,0.684
1000,D001,D011,0.639
1001,D001,D011,0.437
1002,D001,D011,0.311
1003,D001,D011,0.598
1004,D001,D011,0.256
1005,D001,D011,0.662
1006,D001,D011,0.267
1007,D001,D011,0.548
1008,D001,D011,0.291
1009,D001,D011,0.312
1010,D001,D011,0.411
1011,D001,D011,0.148
1012,D001,D011,0.308
1013,D001,D011,0.286
1014,D001,D011,0.678
1015,D001,D011,0.635
1016,D001,D011,0.343
1017,D001,D011,0.354
1018,D001,D011,0.106
1019,D001,D011,0.695
1020,D001,D012,0.337
1021,D001,D012,0.594
1022,D001,D012,0.533
1023,D001,D012,0.398
1024,D001,D012,0.108
1025,D001,D012,0.394
1026,D001,D012,0.159
1027,D001,D012,0.163
1028,D001,D012,0.258
1029,D001,D012,0.624
1030,D001,D012,0.488
1031,D001,D012,0.224
1032,D001,D012,0.353
1033,D001,D012,0.593
1034,D001,D012,0.4
1035,D001,D012,0.446
1036,D001,D012,0.507
1037,D001,D012,0.461
1038,D001,D012,0.454
1039,D001,D012,0.283
1040,D001,D013,0.259
1041,D001,D013,0.593
1042,D001,D013,0.342
1043,D001,D013,0.112
1044,D001,D013,0.247
1045,D001,D013,0.439
1046,D001,D013,0.17
1047,D001,D013,0.49
1048,D001,D013,0.574
1049,D001,D013,0.391
1050,D001,D013,0.618
1051,D001,D013,0.235
1052,D001,D013,0.465
1053,D001,D013,0.135
1054,D001,D013,0.197
1055,D001,D013,0.247
1056,D001,D013,0.244
1057,D001,D013,0.304
1058,D001,D013,0.434
1059,D001,D013,0.151
1060,D001,D014,0.285
1061,D001,D014,0.539
1062,D001,D014,0.497
1063,D001,D014,0.105
1064,D001,D014,0.52
1065,D001,D014,0.685
1066,D001,D014,0.344
1067,D001,D014,0.587
1068,D001,D014,0.602
1069,D001,D014,0.181
1070,D001,D014,0.582
1071,D001,D014,0.274
1072,D001,D014,0.667
1073,D001,D014,0.503
1074,D001,D014,0.132
1075,D001,D014,0.112
1076,D001,D014,0.635
1077,D001,D014,0.551
1078,D001,D014,0.276
1079,D001,D014,0.573
1080,D001,D015,0.163
1081,D001,D015,0.587
1082,D001,D015,0.468
1083,D001,D015,0.68
1084,D001,D015,0.581
1085,D001,D015,0.327
1086,D001,D015,0.685
1087,D001,D015,0.206
1088,D001,D015,0.193
1089,D001,D015,0.559
1090,D001,D015,0.599
1091,D001,D015,0.507
1092,D001,D015,0.394
1093,D001,D015,0.451
1094,D001,D015,0.499
1095,D001,D015,0.444
1096,D001,D015,0.375
1097,D001,D015,0.182
1098,D001,D015,0.578
1099,D001,D015,0.104
1100,D001,D016,0.361
1101,D001,D016,0.194
1102,D001,D016,0.137
1103,D001,D016,0.56
1104,D001,D016,0.374
1105,D001,D016,0.35
1106,D001,D016,0.631
1107,D001,D016,0.617
1108,D001,D016,0.65
1109,D001,D016,0.554
1110,D001,D016,0.202
1111,D001,D016,0.333
1112,D001,D016,0.312
1113,D001,D016,0.354
1114,D001,D016,0.155
1115,D001,D016,0.173
1116,D001,D016,0.317
1117,D001,D016,0.25
1118,D001,D016,0.532
1119,D001,D016,0.358
1120,D001,D017,0.227
1121,D001,D017,0.36
1122,D001,D017,0.166
1123,D001,D017,0.154
1124,D001,D017,0.488
1125,D001,D017,0.213
1126,D001,D017,0.662
1127,D001,D017,0.215
1128,D001,D017,0.181
1129,D001,D017,0.324
1130,D001,D017,0.525
1131,D001,D017,0.246
1132,D001,D017,0.124
1133,D001,D017,0.573
1134,D001,D017,0.665
1135,D001,D017,0.667
1136,D001,D017,0.19
1137,D001,D017,0.129
1138,D001,D017,0.379
1139,D001,D017,0.557
1140,D001,D018,0.512
1141,D001,D018,0.497
1142,D001,D018,0.629
1143,D001,D018,0.252
1144,D001,D018,0.486
1145,D001,D018,0.105
1146,D001,D018,0.12
1147,D001,D018,0.253
1148,D001,D018,0.445
1149,D001,D018,0.496
1150,D001,D018,0.48
